23.01.2018 15:14:07 (INFO): Получили запрос: {"command":"NewPas","parameters":["OK"]}
23.01.2018 15:14:07 (INFO): WorkWithResponse() команда: Command:NewPas Parameters: OK, .
23.01.2018 15:14:08 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[\"144\"]"]}
23.01.2018 15:14:08 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: ["144"], .
23.01.2018 15:14:11 (INFO): Получили запрос: {"command":"RunVNC","parameters":["yes"]}
23.01.2018 15:14:11 (INFO): WorkWithResponse() команда: Command:RunVNC Parameters: yes, .
23.01.2018 15:14:13 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[\"144\"]"]}
23.01.2018 15:14:13 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: ["144"], .
23.01.2018 15:14:17 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[\"144\"]"]}
23.01.2018 15:14:17 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: ["144"], .
23.01.2018 15:14:22 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[\"144\"]"]}
23.01.2018 15:14:22 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: ["144"], .
23.01.2018 15:14:26 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[\"144\"]"]}
23.01.2018 15:14:26 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: ["144"], .
23.01.2018 15:14:31 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[\"144\"]"]}
23.01.2018 15:14:31 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: ["144"], .
23.01.2018 15:14:35 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[\"144\"]"]}
23.01.2018 15:14:35 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: ["144"], .
23.01.2018 15:14:37 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[\"144\"]"]}
23.01.2018 15:14:37 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: ["144"], .
23.01.2018 15:14:40 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[\"144\"]"]}
23.01.2018 15:14:40 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: ["144"], .
23.01.2018 15:14:44 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[\"144\"]"]}
23.01.2018 15:14:44 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: ["144"], .
23.01.2018 15:14:49 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[\"144\"]"]}
23.01.2018 15:14:49 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: ["144"], .
23.01.2018 15:14:53 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[\"144\"]"]}
23.01.2018 15:14:53 (INFO): WorkWithResponse() команда: Command:GetListClients Parameters: ["144"], .
23.01.2018 15:14:58 (INFO): Получили запрос: {"command":"GetListClients","parameters":["[\"144\"]"]}
